manuscript_citekey	detagged_citekey	standard_citekey	short_citekey
raw:Audet2018PerformanceII	raw:Audet2018PerformanceII	raw:Audet2018PerformanceII	vbJ1WiNp
raw:ChafekarSRX05	raw:ChafekarSRX05	raw:ChafekarSRX05	1C0JI6fEI
raw:CustodioMVV11	raw:CustodioMVV11	raw:CustodioMVV11	DCdONjBz
raw:DebN07	raw:DebN07	raw:DebN07	4bMRxtHA
raw:DebTLZ05	raw:DebTLZ05	raw:DebTLZ05	yHWkop2U
raw:DistrSurr	raw:DistrSurr	raw:DistrSurr	HSZsAP2u
raw:EmmerichD18	raw:EmmerichD18	raw:EmmerichD18	1HUtCWxMH
raw:EmmerichGN06	raw:EmmerichGN06	raw:EmmerichGN06	iL724s1s
raw:EngSurMod	raw:EngSurMod	raw:EngSurMod	yGyc3usi
raw:Grierson1993	raw:Grierson1993	raw:Grierson1993	1AF8tzsvd
raw:HybridSurrRCG	raw:HybridSurrRCG	raw:HybridSurrRCG	n6umRRsz
raw:Jin05	raw:Jin05	raw:Jin05	112CjFl6F
raw:Knowles06	raw:Knowles06	raw:Knowles06	13Kf7htnk
raw:KrallMD15	raw:KrallMD15	raw:KrallMD15	15iqjq0XF
raw:Li2009	raw:Li2009	raw:Li2009	16Jfe9RjR
raw:LuST19	raw:LuST19	raw:LuST19	1a94fr8U
raw:MlakarPTF15	raw:MlakarPTF15	raw:MlakarPTF15	mu8IFeYo
raw:Nakayama05	raw:Nakayama05	raw:Nakayama05	15iylVSF0
raw:PilatN12	raw:PilatN12	raw:PilatN12	MlTHme7o
raw:PlatEMO	raw:PlatEMO	raw:PlatEMO	d1YE9XcQ
raw:Rasmussen2004	raw:Rasmussen2004	raw:Rasmussen2004	1FOgcJYL9
raw:RasmussenN10	raw:RasmussenN10	raw:RasmussenN10	1FXlw7TX2
raw:RasmussenW06	raw:RasmussenW06	raw:RasmussenW06	4nfjnHfv
raw:ResponseSurface	raw:ResponseSurface	raw:ResponseSurface	WHqOntch
raw:Schott1995FaultTD	raw:Schott1995FaultTD	raw:Schott1995FaultTD	1AKoZUHA4
raw:SoftSurvey	raw:SoftSurvey	raw:SoftSurvey	CrJQ8Xau
raw:TaboadaBCW07	raw:TaboadaBCW07	raw:TaboadaBCW07	890MGfiJ
raw:WFGref	raw:WFGref	raw:WFGref	1HFetF7vb
raw:Woodard00	raw:Woodard00	raw:Woodard00	1Y1nHvc2
raw:ZhangL07	raw:ZhangL07	raw:ZhangL07	Dk9KXQBq
raw:Zitzler2000ComparisonOM	raw:Zitzler2000ComparisonOM	raw:Zitzler2000ComparisonOM	17FLBEzc1
raw:ZitzlerDT00	raw:ZitzlerDT00	raw:ZitzlerDT00	cgOPGY3M
raw:abs181207958	raw:abs181207958	raw:abs181207958	BvoEknRH
raw:akhtar2019efficient	raw:akhtar2019efficient	raw:akhtar2019efficient	b95kEJCL
raw:bodin2019modulating	raw:bodin2019modulating	raw:bodin2019modulating	wTIHyFe9
raw:buitinck2013api	raw:buitinck2013api	raw:buitinck2013api	2iBa9w3z
raw:francesco_biscani_2019	raw:francesco_biscani_2019	raw:francesco_biscani_2019	14vOEgTO2
raw:kouwe2018benchmarking	raw:kouwe2018benchmarking	raw:kouwe2018benchmarking	Vb3fs8xv
raw:mlrMBO	raw:mlrMBO	raw:mlrMBO	3liBOoCe
raw:nardi2019practical	raw:nardi2019practical	raw:nardi2019practical	2c1WpqTZ
raw:odugod2013	raw:odugod2013	raw:odugod2013	NTeA6uPp
raw:smac-2017	raw:smac-2017	raw:smac-2017	hC44c3Vm
